Animal ID,Other Identifiers,Response Date,Country,State,County,Location,Latitude,Longitude,Vital Status,Species,Sex,AgeClass,Confirmed Entanglement,Entanglement Type,Entanglement Fishery Certainty,Entanglement Fishery Type,Gear Location - Body,Gear Location - Head,Gear Location - Mouth,Gear Location - Left Pec Flipper,Gear Location - Right Pec Flipper,Gear Location - Tailstock,Gear Location - Flukes,Gear Location - Unknown,Gear Material - Buoy,Gear Material - Rope,Gear Material - Trap,Gear Material - Monofilament,Gear Material - Net,Gear Material - Other,Gear Material - Unknown
19850127Er,NMFS/SWFC-HJV-009,1/27/85,USA,California,San Diego,"DEL MAR BOAT BASIN, CAMP PENDELTON MARINE BASE",33.21699905,-117.4000015,Dead,Gray Whale,Male,Calf,Confirmed Entangled,Unknown,,,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
19850128Er,,1/28/85,USA,California,Santa Barbara,SOUTH OF SANTA CRUZ ISLAND,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19850207Er,,2/7/85,USA,California,Ventura,SPOTTED BY HELI OFFSHORE PORT HUENEME AND OFFSHORE POINT MUGU,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19850211Er,SBNMH-85-02,2/11/85,USA,California,Santa Barbara,"MINUTE MAN BEACH, VANDENBURG AIR FORCE BASE",34.83300018,-120.5999985,Dead,Gray Whale,Female,Adult,Confirmed Entangled,Unknown,,,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No
19850221Er,,2/21/85,USA,California,Ventura,5 MILES NORTH OF ANACAPA ISLAND,,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
19850223Er,,2/23/85,USA,California,Orange,"OFFSHORE BOLSA CHICA STATE BEACH, HUNTINGTON BEACH",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19850325Er,,3/25/85,USA,California,Los Angeles,"San Pedro, LOS ANGELES HARBOR; CABRILLO BEACH PIER",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19850330Er_2,8503052,3/30/85,USA,California,Ventura,"CHANNEL ISLANDS HARBOR, OXNARD",,,Dead,Gray Whale,Unknown,Calf,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19850331Er,,3/31/85,USA,California,Los Angeles,"SAN PEDRO CHANNEL, CATALINA ISLAND",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19850404Er,NMFS/SWFC-HJB-012,4/4/85,USA,California,San Diego,"ABOUT 2 MILES SOUTH OF OCEAN BEACH PIER, FOOT OF POINT LOMA AV",32.73699951,-117.2559967,Dead,Gray Whale,Male,Subadult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19850408Er,,4/8/85,USA,California,San Diego,"La Jolla, in the surf zone",,,Alive,Gray Whale,Unknown,Calf,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19850417Er,,4/17/85,USA,California,San Diego,CORONADO ISLAND,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
19850423Er,,4/23/85,USA,California,Humboldt,"Eureka, offshore",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Unconfirmed,Unknown,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
19850512Er,8505064,5/12/85,USA,California,San Mateo,"100 YARDS DIRECTLY OFF PIGEON POINT, SAN MATEO",37.18299866,-122.375,Dead,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
19850714Er,LACMNH-JEH-325; DK-85-15,7/14/85,USA,California,Los Angeles,"San Pedro, in kelp off Whites Point",33.79600143,-118.2799988,Dead,Gray Whale,Female,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19860129Er,,1/29/86,USA,California,San Diego,"Point Loma, OFFSHORE",,,Alive,Gray Whale,Unknown,Calf,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19860211Er,,2/11/86,USA,California,Los Angeles,"OFFSHORE ZUMA BEACH, MALIBU",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
